;T2M_MAX;T2M_MIN;T2MDEW;T2M;ALLSKY_SFC_SW_DWN;ALLSKY_SFC_SW_UP;ALLSKY_SFC_LW_DWN;ALLSKY_SFC_LW_UP;PS;WS2M;PRECTOTCORR
20220101;25.42;16.85;17.4;20.49;3.79;0.49;9.16;10.15;93.56;1.05;0.39
20220102;25.45;17.46;17.65;20.7;4.57;0.59;9.04;10.33;93.5;1.0;0.44
20220103;24.46;18.14;17.77;20.5;3.52;0.45;9.13;10.38;93.46;0.98;0.71
20220104;25.99;17.63;18.47;21.19;4.38;0.56;9.17;10.28;93.42;0.7;0.16
20220105;26.51;17.27;18.98;21.56;5.17;0.67;9.12;10.23;93.39;0.46;0.07
20220106;26.4;17.76;18.41;21.5;5.08;0.66;9.13;10.39;93.46;0.46;0.02
20220107;26.88;16.71;18.29;21.37;5.67;0.73;8.93;10.54;93.52;0.56;0.07
20220108;26.75;15.9;17.67;21.13;5.93;0.76;8.63;10.49;93.48;0.44;0.02
20220109;26.48;15.3;17.99;20.65;5.11;0.66;8.87;10.39;93.4;0.41;0.32
20220110;26.6;16.78;18.52;21.21;5.32;0.68;9.02;10.32;93.46;0.45;0.2
20220111;25.15;15.05;16.03;19.38;5.95;0.77;8.24;10.38;93.55;0.75;0.01
20220112;25.85;14.44;16.68;19.59;5.42;0.7;8.52;9.98;93.54;0.63;0.03
20220113;24.62;14.84;15.63;18.82;5.98;0.78;8.09;10.12;93.58;0.81;0.03
20220114;24.87;14.19;15.77;18.76;5.45;0.71;8.36;10.14;93.55;0.76;0.02
20220115;24.79;12.91;15.15;18.58;6.3;0.84;7.97;10.29;93.54;0.54;0.0
20220116;26.15;12.79;16.54;19.37;6.05;0.78;8.27;10.41;93.51;0.65;0.04
20220117;26.13;15.61;17.46;20.35;5.86;0.76;8.69;10.38;93.51;0.66;0.18
20220118;26.06;15.91;17.13;20.14;5.62;0.73;8.53;10.32;93.45;0.66;0.3
20220119;25.65;15.08;16.38;19.72;5.91;0.76;8.41;10.31;93.34;0.77;0.06
20220120;25.8;15.09;16.88;20.05;5.72;0.73;8.65;10.5;93.3;0.52;0.04
20220121;26.31;14.77;16.6;20.33;6.09;0.78;8.44;10.43;93.35;0.43;0.01
20220122;26.82;14.8;17.38;20.66;6.04;0.76;8.59;10.45;93.24;0.44;0.0
20220123;27.05;16.49;18.47;21.49;5.51;0.71;9.09;10.55;93.25;0.38;0.0
20220124;27.64;17.0;19.08;21.88;5.21;0.68;9.25;10.53;93.23;0.44;0.0
20220125;27.37;17.49;18.68;21.85;4.79;0.62;9.25;10.36;93.26;0.45;0.0
20220126;27.44;16.41;17.7;21.44;5.75;0.73;8.57;10.33;93.3;0.53;0.0
20220127;26.61;15.3;16.52;20.6;6.11;0.79;8.38;10.4;93.26;0.59;0.0
20220128;27.53;15.88;18.0;21.55;5.36;0.7;8.76;10.25;93.27;0.38;0.0
20220129;27.66;18.41;19.03;22.43;5.83;0.75;8.96;10.27;93.25;0.39;0.0
20220130;27.68;17.17;18.93;22.12;4.78;0.61;9.35;10.27;93.27;0.44;0.0
20220131;27.25;18.07;18.78;22.04;5.53;0.71;9.11;10.51;93.28;0.62;0.0
20220201;27.75;16.68;17.66;21.46;6.23;0.83;8.69;10.48;93.33;0.65;0.0
20220202;27.99;16.03;17.97;21.6;6.0;0.8;8.9;10.26;93.4;0.66;0.0
20220203;28.09;17.34;18.41;21.93;6.15;0.82;8.75;10.71;93.37;0.74;0.01
20220204;27.24;17.28;18.04;21.51;5.57;0.75;8.92;10.62;93.35;1.06;0.1
20220205;25.36;18.02;17.43;21.0;4.67;0.64;9.07;10.51;93.4;1.29;0.65
20220206;26.87;17.72;18.1;21.33;4.26;0.58;9.16;10.3;93.4;1.1;1.48
20220207;28.4;17.63;19.28;22.42;5.6;0.76;9.27;10.43;93.35;0.61;0.25
20220208;27.41;18.14;18.94;22.15;5.23;0.7;9.28;10.25;93.37;0.57;0.07
20220209;27.69;17.88;18.87;22.14;6.0;0.81;9.19;10.33;93.35;0.83;0.15
20220210;26.27;17.72;18.21;21.36;5.63;0.76;9.3;10.53;93.29;0.78;0.07
20220211;27.87;17.43;18.44;21.91;5.61;0.76;9.21;10.49;93.23;0.86;0.03
20220212;28.1;17.88;19.08;22.25;4.64;0.63;9.24;10.42;93.14;0.81;0.06
20220213;27.99;18.57;19.37;22.52;4.34;0.59;9.46;10.0;93.05;0.65;0.07
20220214;28.71;18.45;19.26;22.9;5.16;0.7;9.48;10.49;93.15;0.85;0.12
20220215;27.95;18.44;19.36;22.47;4.79;0.65;9.41;10.59;93.18;1.0;0.74
20220216;28.3;17.2;18.89;22.18;5.73;0.77;9.28;10.4;93.14;0.73;1.84
20220217;28.89;18.63;19.9;22.87;5.72;0.77;9.24;10.55;93.12;0.51;2.59
20220218;28.71;19.29;19.92;23.15;4.91;0.67;9.44;10.53;93.22;0.65;0.16
20220219;29.55;17.49;19.32;23.17;4.99;0.67;9.35;10.33;93.33;0.45;0.05
20220220;28.8;19.31;19.99;23.35;4.21;0.57;9.49;10.42;93.26;0.68;0.06
20220221;28.09;17.68;17.55;22.28;5.45;0.74;9.19;10.15;93.32;0.47;0.0
20220222;28.82;16.25;16.75;22.07;5.73;0.77;9.02;10.27;93.44;0.69;0.03
20220223;27.75;16.33;15.58;21.17;5.52;0.75;8.99;10.08;93.58;1.04;0.01
20220224;27.38;16.77;15.96;21.16;4.85;0.67;9.03;10.16;93.56;1.3;0.06
20220225;27.58;18.62;17.33;22.24;4.38;0.6;9.1;10.22;93.55;1.3;0.03
20220226;27.13;18.84;18.01;22.1;6.28;0.84;8.98;10.64;93.53;1.0;0.02
20220227;28.32;18.05;17.98;22.35;5.81;0.78;9.22;10.39;93.46;1.1;0.06
20220228;29.22;17.37;18.27;22.61;6.11;0.81;9.08;10.74;93.43;0.87;0.01
20220301;29.66;16.85;17.93;22.9;6.49;0.92;9.1;10.66;93.41;0.52;0.0
20220302;27.95;18.7;18.19;22.64;4.52;0.65;9.42;10.38;93.42;0.72;0.13
20220303;30.18;19.02;18.62;23.83;6.47;0.9;9.24;10.5;93.32;0.64;0.0
20220304;31.28;17.92;18.19;23.91;6.99;0.94;9.1;10.79;93.27;0.55;0.0
20220305;29.77;18.09;18.82;23.42;6.29;0.88;9.19;10.8;93.24;0.61;0.17
20220306;29.06;19.1;18.91;23.32;6.33;0.89;9.17;10.83;93.25;0.74;0.0
20220307;30.43;17.98;17.22;23.25;6.82;0.95;9.01;10.73;93.32;0.7;0.0
20220308;30.16;16.42;17.8;22.77;6.53;0.9;8.96;10.66;93.23;0.87;0.01
20220309;31.01;16.53;16.47;23.26;6.78;0.94;8.96;10.52;93.2;0.38;0.0
20220310;30.25;15.11;14.29;22.16;6.45;0.9;8.61;10.52;93.15;0.57;0.0
20220311;31.08;15.54;15.18;22.66;6.97;0.97;8.67;10.5;93.06;0.58;0.0
20220312;30.55;17.89;18.15;23.68;3.0;0.43;9.61;10.37;93.05;0.43;0.0
20220313;29.68;19.84;19.78;24.01;4.8;0.68;9.67;10.55;93.08;0.64;0.0
20220314;31.2;19.54;20.39;24.68;6.36;0.9;9.55;10.67;93.12;0.51;0.0
20220315;31.88;18.79;19.21;24.76;6.2;0.87;9.42;10.52;93.03;0.52;0.0
20220316;32.0;18.55;18.59;24.47;6.44;0.9;9.34;10.65;93.01;0.56;0.0
20220317;31.81;19.41;18.08;24.77;6.1;0.86;9.37;10.69;93.05;0.53;0.0
20220318;31.92;19.22;19.03;24.66;5.7;0.8;9.48;10.55;93.04;0.47;0.38
20220319;31.52;19.95;19.09;24.41;6.35;0.88;9.32;10.82;93.02;0.67;0.57
20220320;29.43;19.36;19.72;23.43;4.95;0.71;9.53;10.73;93.17;0.74;3.19
20220321;27.53;19.31;20.24;22.54;4.01;0.58;9.55;10.7;93.32;1.04;19.32
20220322;28.58;20.07;20.02;23.5;5.22;0.75;9.54;10.72;93.37;0.75;0.57
20220323;28.33;19.99;20.24;23.45;6.18;0.87;9.55;10.39;93.32;0.66;0.81
20220324;28.87;19.92;20.48;23.71;6.26;0.89;9.43;10.8;93.24;0.75;2.41
20220325;27.77;20.05;20.64;23.39;6.95;0.97;9.15;11.13;93.33;0.61;1.67
20220326;31.11;20.72;20.11;25.07;7.0;0.97;9.27;10.9;93.37;0.53;0.08
20220327;30.39;20.92;20.94;24.99;6.16;0.88;9.47;10.69;93.35;0.45;0.41
20220328;31.23;20.44;19.34;24.72;6.53;0.91;9.35;10.85;93.32;0.54;0.09
20220329;30.52;18.23;18.71;23.8;5.29;0.76;9.31;10.62;93.24;0.66;0.37
20220330;28.35;19.13;19.75;22.85;4.03;0.58;9.44;10.19;93.16;0.47;21.45
20220331;24.73;20.08;21.01;22.11;1.5;0.22;9.45;9.86;93.09;0.73;23.82
20220401;26.55;20.26;21.04;22.98;4.31;0.57;9.36;10.41;93.32;1.06;17.08
20220402;28.55;19.24;20.06;23.04;5.41;0.7;9.22;10.55;93.37;0.64;1.83
20220403;28.12;19.11;18.24;22.39;5.8;0.75;9.22;10.55;93.38;1.07;2.56
20220404;28.73;18.26;19.07;22.8;5.12;0.66;9.52;10.43;93.44;0.9;2.9
20220405;28.46;19.17;19.78;22.98;3.48;0.46;9.57;10.33;93.46;0.9;4.7
20220406;29.75;18.58;19.44;23.5;5.02;0.66;9.35;10.36;93.36;0.69;0.35
20220407;27.96;18.14;17.58;22.34;3.96;0.53;9.28;10.82;93.33;0.6;0.0
20220408;30.41;15.6;16.55;22.74;6.7;0.85;8.92;10.34;93.25;0.52;0.0
20220409;30.01;17.93;18.14;23.37;6.43;0.78;9.16;10.64;93.16;0.49;0.0
20220410;30.15;18.8;19.12;23.82;6.49;0.82;9.44;10.52;93.16;0.59;0.0
20220411;30.93;19.8;19.7;24.5;6.29;0.76;9.51;10.77;93.13;0.41;0.01
20220412;29.35;20.44;20.45;24.25;5.75;0.72;9.6;10.77;93.07;0.58;0.18
20220413;31.23;20.57;20.98;25.13;5.36;0.67;9.61;10.9;93.0;0.5;0.27
20220414;28.25;22.12;21.74;24.4;4.75;0.6;9.7;10.46;93.0;0.41;1.03
20220415;29.29;20.43;19.79;23.55;4.91;0.63;9.78;10.59;93.12;0.38;4.58
20220416;29.45;19.27;20.07;23.56;3.89;0.5;9.74;10.61;93.13;0.65;4.14
20220417;31.31;19.0;19.62;24.52;6.46;0.78;9.47;10.54;93.16;0.59;0.05
20220418;31.18;19.56;18.4;24.58;7.08;0.88;9.18;10.68;93.24;0.78;0.03
20220419;31.7;16.94;16.88;23.96;7.24;0.92;9.17;10.56;93.29;0.78;0.01
20220420;31.52;18.81;18.82;24.41;5.35;0.69;9.56;10.5;93.22;0.64;0.09
20220421;32.43;20.16;19.12;25.53;6.9;0.87;9.36;10.67;93.21;0.61;0.03
20220422;33.09;19.21;18.37;25.63;7.17;0.91;9.28;10.92;93.24;0.65;0.02
20220423;32.88;20.13;19.29;25.9;6.74;0.84;9.52;10.86;93.16;0.74;0.09
20220424;31.25;20.97;20.1;25.34;6.46;0.82;9.54;10.74;93.09;0.62;0.19
20220425;33.05;20.55;19.63;26.0;6.69;0.85;9.41;10.74;93.08;0.79;0.04
20220426;33.2;22.06;21.2;26.38;6.45;0.83;9.51;10.63;93.05;0.58;0.24
20220427;33.76;21.87;20.71;26.88;6.49;0.83;9.48;10.66;93.04;0.67;0.18
20220428;29.31;21.51;20.28;24.62;6.03;0.79;9.5;10.88;93.16;0.92;1.12
20220429;26.44;20.44;20.62;23.13;1.75;0.23;9.63;10.31;93.11;0.4;18.42
20220430;27.88;20.77;21.08;23.36;3.83;0.5;9.66;10.17;92.99;0.91;20.82
20220501;27.11;20.89;21.52;23.35;4.26;0.59;9.56;10.18;93.03;0.74;39.3
20220502;27.52;21.06;21.7;23.86;6.01;0.82;9.58;10.36;93.08;0.52;6.57
20220503;25.43;21.31;21.57;23.04;5.2;0.71;9.57;10.49;93.18;0.35;6.81
20220504;28.99;20.4;21.57;23.84;5.91;0.81;9.63;10.62;93.16;0.41;1.74
20220505;29.69;20.81;20.88;24.31;6.28;0.86;9.46;10.62;93.1;0.66;0.4
20220506;30.4;20.13;20.15;24.38;6.98;0.95;9.46;10.49;93.07;0.76;0.09
20220507;29.87;19.09;19.61;23.9;4.23;0.6;9.57;10.24;93.13;1.05;0.3
20220508;28.59;20.06;20.05;23.9;4.58;0.65;9.51;10.65;93.14;1.01;0.14
20220509;30.23;20.3;19.57;24.56;6.49;0.9;9.42;10.64;93.17;0.75;0.07
20220510;31.86;19.71;19.62;25.3;6.37;0.89;9.43;10.57;93.12;0.63;0.07
20220511;31.84;20.94;20.86;25.62;5.55;0.77;9.58;10.33;93.12;0.45;0.22
20220512;28.88;22.38;22.1;24.83;5.7;0.78;9.61;10.37;93.11;0.55;0.76
20220513;29.98;21.59;21.64;25.23;6.28;0.86;9.56;10.6;93.07;0.68;0.34
20220514;28.07;22.45;22.4;24.67;6.08;0.84;9.62;10.47;93.18;0.58;1.01
20220515;30.43;21.9;22.21;25.5;6.54;0.89;9.54;10.4;93.21;0.62;0.45
20220516;27.81;22.4;22.66;24.52;5.2;0.73;9.56;10.71;93.18;0.48;5.06
20220517;28.47;21.17;21.74;24.26;4.08;0.57;9.69;10.88;93.13;0.55;6.35
20220518;25.23;21.66;21.81;23.19;4.68;0.65;9.71;10.65;93.2;0.31;4.82
20220519;27.02;20.98;21.34;23.27;5.17;0.71;9.63;10.69;93.27;0.49;18.85
20220520;28.51;20.73;21.5;23.87;5.71;0.78;9.53;10.76;93.12;0.61;9.31
20220521;26.85;21.23;21.51;23.53;5.89;0.81;9.51;10.63;93.02;0.87;27.32
20220522;25.15;20.6;21.17;22.5;4.96;0.7;9.59;10.75;92.83;1.05;17.49
20220523;25.7;20.26;20.48;22.38;3.85;0.55;9.63;10.73;92.92;1.17;4.18
20220524;27.76;19.51;20.56;23.14;5.59;0.76;9.54;10.75;93.14;0.93;1.67
20220525;27.4;20.96;21.43;23.53;4.98;0.7;9.51;10.63;93.15;0.63;2.82
20220526;24.36;20.66;21.31;22.32;4.24;0.6;9.67;10.91;92.99;0.74;12.05
20220527;25.16;20.15;21.16;22.41;3.71;0.52;9.72;10.64;92.85;1.02;12.68
20220528;25.74;19.75;19.63;22.05;5.41;0.75;9.51;10.39;92.92;1.29;10.86
20220529;26.56;20.52;21.21;23.11;5.33;0.74;9.53;10.67;92.96;1.0;5.94
20220530;26.93;21.05;21.53;23.56;4.88;0.68;9.64;10.69;92.97;0.7;0.35
20220531;29.04;20.55;21.4;24.36;5.89;0.81;9.49;10.65;92.92;0.63;2.22
20220601;26.6;21.93;22.58;23.8;5.57;0.69;9.5;10.61;93.0;0.48;12.15
20220602;26.32;21.46;22.5;23.39;5.74;0.72;9.58;10.16;93.07;0.64;11.73
20220603;26.68;20.32;21.26;23.31;6.48;0.8;9.43;10.35;93.14;0.74;1.53
20220604;26.95;20.89;20.56;23.27;6.27;0.78;9.37;10.47;93.2;0.83;5.94
20220605;28.42;18.7;20.78;23.33;7.4;0.92;9.11;10.92;93.09;0.77;8.57
20220606;28.73;21.17;21.96;24.44;6.86;0.86;9.25;10.82;92.96;0.77;0.43
20220607;28.63;21.77;21.74;24.34;5.81;0.72;9.56;10.65;92.99;0.66;2.63
20220608;28.72;20.72;21.56;24.16;5.86;0.75;9.47;10.56;93.06;0.66;11.77
20220609;28.5;20.88;21.46;24.33;6.62;0.78;9.5;10.67;93.07;0.45;1.72
20220610;26.78;21.63;22.6;23.8;6.21;0.78;9.38;10.52;93.07;0.54;12.24
20220611;28.02;21.1;21.78;24.15;6.3;0.78;9.44;10.33;93.11;0.46;2.79
20220612;26.24;21.39;22.16;23.42;5.81;0.74;9.58;10.35;93.18;0.41;6.94
20220613;28.18;20.53;21.13;23.78;6.9;0.85;9.4;10.34;93.16;0.5;0.26
20220614;27.78;21.06;21.81;23.97;6.27;0.78;9.5;10.34;93.14;0.55;1.95
20220615;27.1;21.24;21.69;23.76;6.27;0.78;9.4;10.37;93.18;0.47;3.73
20220616;28.15;21.79;21.42;24.17;6.01;0.76;9.45;10.54;93.27;0.36;0.18
20220617;28.82;21.72;21.84;24.59;6.37;0.79;9.52;10.47;93.23;0.45;0.06
20220618;28.52;21.36;21.8;24.3;5.85;0.73;9.57;10.57;93.19;0.51;0.2
20220619;26.7;21.53;21.78;23.64;6.11;0.76;9.33;10.62;93.13;0.48;0.48
20220620;28.09;20.97;21.42;23.93;6.35;0.77;9.42;10.54;92.96;0.57;0.84
20220621;27.17;21.27;21.35;23.5;6.02;0.74;9.39;10.49;92.99;0.63;12.03
20220622;27.81;19.85;20.97;23.52;5.39;0.67;9.27;10.41;93.14;0.51;23.07
20220623;25.68;21.43;21.65;23.07;4.57;0.57;9.51;10.68;93.15;0.4;5.75
20220624;24.95;21.32;21.79;22.76;5.87;0.74;9.47;10.28;93.11;0.44;16.79
20220625;27.1;20.99;21.42;23.12;5.9;0.73;9.41;10.49;93.06;0.6;9.72
20220626;27.77;20.64;21.42;23.84;6.41;0.79;9.4;10.37;93.18;0.5;0.51
20220627;28.68;21.21;22.02;24.41;6.36;0.78;9.53;10.48;93.15;0.48;0.18
20220628;27.2;22.58;22.29;24.21;5.61;0.71;9.5;10.43;92.98;0.61;1.06
20220629;26.69;21.52;22.6;23.85;5.02;0.65;9.38;10.1;92.75;0.84;4.92
20220630;25.67;21.69;21.72;23.41;4.84;0.62;9.4;10.01;92.69;1.37;3.43
20220701;25.26;20.51;20.38;22.54;3.59;0.47;9.38;10.24;92.81;1.21;1.62
20220702;26.55;21.07;21.24;23.3;4.02;0.53;9.5;10.56;92.83;1.35;4.07
20220703;27.1;21.35;21.67;23.71;4.92;0.65;9.57;11.12;92.89;0.99;1.57
20220704;27.19;21.43;21.87;23.82;5.36;0.7;9.63;10.88;92.89;1.07;2.3
20220705;26.51;20.94;21.62;23.26;6.01;0.78;9.44;10.43;93.0;0.94;6.17
20220706;26.0;21.74;22.18;23.55;5.72;0.74;9.56;10.46;93.09;0.76;3.69
20220707;26.72;21.99;22.23;23.86;5.28;0.69;9.52;10.76;93.03;0.84;3.63
20220708;25.14;21.4;22.14;23.04;4.42;0.58;9.46;10.45;92.99;0.96;10.92
20220709;24.98;20.17;20.79;22.2;4.38;0.58;9.51;10.27;92.89;1.05;8.59
20220710;25.95;20.43;21.01;22.73;4.08;0.54;9.48;10.23;92.84;1.32;15.61
20220711;24.75;20.67;21.13;22.31;3.45;0.45;9.68;10.33;92.87;1.04;23.47
20220712;26.09;20.53;21.3;22.59;4.03;0.53;9.55;10.18;92.83;1.03;21.76
20220713;25.88;20.77;21.61;23.05;4.07;0.53;9.61;10.56;92.71;0.99;16.94
20220714;27.15;20.91;21.56;23.5;4.18;0.55;9.63;10.27;92.75;0.99;3.76
20220715;27.67;20.63;21.67;23.65;5.28;0.7;9.6;10.53;92.93;0.76;3.2
20220716;27.32;21.12;21.85;23.62;6.12;0.79;9.56;10.62;93.03;0.71;5.87
20220717;26.23;21.28;21.71;23.27;5.62;0.73;9.64;10.49;93.11;0.85;4.11
20220718;26.63;21.12;21.82;23.59;6.09;0.79;9.51;10.75;93.01;0.79;1.3
20220719;26.27;21.75;21.81;23.35;4.23;0.55;9.46;10.56;92.96;0.73;3.12
20220720;23.72;20.75;21.1;21.99;3.64;0.48;9.49;10.52;93.07;0.63;11.09
20220721;25.05;19.88;20.41;21.94;5.45;0.71;9.48;10.55;93.27;0.57;12.87
20220722;28.56;18.69;20.56;23.16;5.62;0.73;9.36;10.71;93.27;0.41;0.67
20220723;29.01;19.33;20.69;23.88;6.09;0.79;9.39;10.47;93.18;0.49;0.12
20220724;29.41;19.61;20.56;24.2;6.89;0.88;9.28;10.57;93.06;0.51;0.27
20220725;28.84;20.34;21.52;24.23;6.55;0.82;9.44;10.64;93.1;0.58;1.27
20220726;27.26;21.37;21.82;23.74;5.49;0.72;9.46;10.5;93.1;0.48;13.1
20220727;28.05;20.95;21.01;23.88;4.53;0.59;9.47;10.39;93.08;0.52;2.17
20220728;27.96;21.18;21.3;24.08;5.91;0.76;9.59;10.39;93.07;0.39;0.4
20220729;28.14;21.3;21.89;24.06;5.9;0.76;9.67;10.56;93.0;0.68;4.32
20220730;26.51;21.79;22.2;23.55;4.66;0.61;9.67;10.67;92.97;0.79;16.07
20220731;25.28;21.21;22.02;22.92;4.44;0.56;9.64;10.59;92.93;0.87;60.28
20220801;27.17;20.35;21.24;23.0;5.26;0.7;9.53;10.48;92.99;0.73;27.28
20220802;26.99;19.76;20.99;22.98;5.93;0.8;9.47;10.65;93.06;0.59;3.52
20220803;26.47;21.0;21.87;23.15;4.77;0.64;9.48;10.55;93.14;0.66;17.76
20220804;26.88;21.04;21.86;23.58;5.12;0.68;9.5;10.5;93.1;0.52;16.12
20220805;25.42;20.96;21.35;22.8;5.61;0.75;9.51;10.4;93.03;0.89;9.93
20220806;24.6;20.7;21.19;22.23;5.01;0.67;9.46;10.62;92.96;0.87;20.48
20220807;25.09;20.37;21.21;22.25;3.33;0.44;9.4;10.61;92.86;1.27;20.08
20220808;23.51;19.53;19.77;21.26;3.21;0.44;9.34;10.46;92.87;1.76;27.53
20220809;23.88;18.17;18.77;20.75;4.18;0.57;9.36;10.44;92.87;1.72;8.04
20220810;25.71;18.81;20.33;22.15;4.69;0.65;9.58;10.55;92.88;1.38;11.89
20220811;25.21;20.18;20.61;22.3;4.2;0.58;9.45;10.52;93.04;1.16;11.43
20220812;27.71;19.32;20.32;23.09;6.38;0.87;9.23;10.49;93.15;0.78;0.43
20220813;27.55;20.43;21.24;23.46;6.39;0.86;9.5;10.59;93.12;0.64;1.06
20220814;26.74;20.56;21.91;23.33;5.32;0.72;9.73;10.41;93.11;0.57;11.55
20220815;25.92;21.64;22.09;23.34;2.36;0.32;9.58;10.7;93.06;0.54;12.53
20220816;26.7;20.44;20.83;22.96;5.99;0.83;9.44;10.51;93.07;0.94;6.45
20220817;26.47;20.27;21.38;23.09;5.7;0.79;9.4;10.54;93.1;0.88;3.42
20220818;27.09;20.17;21.05;23.19;6.35;0.86;9.51;10.43;93.04;0.93;2.56
20220819;25.79;21.06;21.73;22.97;4.89;0.67;9.55;10.55;92.97;0.85;13.25
20220820;25.55;20.72;21.55;22.8;5.07;0.7;9.45;10.34;92.95;0.86;20.46
20220821;27.37;20.29;21.32;23.26;5.56;0.77;9.46;10.63;93.0;0.78;3.91
20220822;27.89;20.24;21.3;23.59;6.69;0.9;9.51;10.83;93.08;0.8;4.15
20220823;25.56;21.38;21.87;23.03;5.53;0.76;9.5;10.74;93.11;0.6;9.93
20220824;26.07;21.31;21.99;23.23;6.77;0.91;9.32;9.99;92.98;0.62;10.9
20220825;26.26;20.89;21.03;22.84;4.57;0.6;9.38;10.31;93.0;0.89;3.26
20220826;26.45;20.7;21.14;23.04;5.13;0.68;9.43;10.75;93.21;0.66;1.51
20220827;27.35;19.56;20.88;23.34;6.45;0.83;9.52;10.55;93.21;0.53;3.11
20220828;28.5;20.22;21.22;23.67;3.86;0.5;9.57;10.29;93.06;0.45;2.14
20220829;26.71;20.21;21.44;23.06;5.77;0.76;9.46;10.48;93.15;0.69;4.59
20220830;28.9;20.15;20.98;23.93;6.79;0.89;9.42;10.74;93.17;0.53;0.25
20220831;28.24;21.38;21.82;24.12;6.13;0.82;9.6;10.37;93.03;0.53;0.54
20220901;29.21;21.32;22.36;24.79;6.34;0.79;9.62;10.44;93.07;0.51;0.25
20220902;27.62;22.05;22.71;24.31;5.84;0.72;9.59;10.61;93.07;0.57;5.77
20220903;26.09;22.04;22.46;23.49;6.22;0.77;9.42;10.65;93.07;0.6;12.82
20220904;26.66;21.59;21.51;23.33;5.94;0.74;9.52;10.82;93.17;0.92;2.73
20220905;25.46;20.94;21.16;22.74;5.16;0.65;9.51;10.48;93.17;0.81;7.95
20220906;24.69;20.39;20.65;22.14;2.99;0.37;9.42;10.49;93.11;0.76;12.47
20220907;24.63;20.2;20.87;21.93;3.44;0.42;9.42;10.48;93.16;0.65;14.21
20220908;25.64;19.69;20.35;22.32;4.89;0.6;9.53;10.44;93.31;0.72;5.34
20220909;28.65;20.06;21.34;23.63;6.06;0.76;9.55;10.15;93.34;0.45;1.11
20220910;26.73;21.2;21.43;23.38;6.08;0.77;9.36;10.16;93.31;0.79;1.03
20220911;27.82;19.93;21.14;23.3;5.38;0.67;9.49;10.52;93.21;0.73;5.04
20220912;26.23;20.48;21.04;22.75;5.42;0.67;9.53;10.46;93.17;0.55;5.05
20220913;27.39;19.45;20.98;23.16;5.93;0.74;9.42;10.44;93.22;0.59;1.38
20220914;26.17;20.7;21.32;22.8;6.19;0.77;9.5;10.7;93.34;0.74;11.13
20220915;25.68;19.5;20.55;22.19;4.73;0.59;9.47;10.61;93.27;0.92;31.79
20220916;26.26;19.38;20.92;22.57;4.55;0.56;9.58;10.57;93.04;0.87;7.64
20220917;24.75;21.25;21.49;22.64;4.96;0.57;9.53;10.56;93.09;0.84;10.96
20220918;26.33;20.25;20.16;22.38;4.98;0.58;9.39;10.45;93.17;0.83;2.72
20220919;27.67;20.12;20.94;23.27;5.77;0.7;9.44;10.64;93.1;0.9;1.11
20220920;26.22;20.54;21.04;22.8;5.28;0.63;9.56;10.58;93.06;0.72;3.45
20220921;25.73;20.07;20.93;22.54;4.38;0.51;9.37;10.62;93.06;0.54;2.85
20220922;24.78;21.14;21.35;22.56;4.28;0.51;9.59;10.72;93.08;0.67;5.62
20220923;27.61;20.41;21.01;23.16;4.83;0.57;9.44;10.44;93.12;0.58;0.37
20220924;26.3;20.52;21.38;22.95;5.08;0.59;9.53;10.6;93.06;0.5;2.57
20220925;24.73;20.79;21.47;22.31;3.29;0.4;9.41;10.77;93.08;0.67;31.24
20220926;24.75;19.84;20.32;21.64;3.75;0.46;9.34;10.77;93.08;0.91;6.46
20220927;24.99;19.29;20.48;21.74;3.05;0.37;9.34;10.52;92.74;1.18;11.74
20220928;24.37;20.64;20.75;22.05;4.03;0.49;9.3;10.43;92.64;1.59;8.77
20220929;26.61;20.45;21.06;22.88;3.17;0.39;9.53;10.46;92.9;1.11;3.87
20220930;26.05;20.66;21.38;22.79;4.6;0.57;9.56;10.55;93.12;0.71;10.03
20221001;26.21;20.65;21.54;22.83;3.67;0.49;9.54;10.62;93.2;0.46;3.41
20221002;25.97;20.95;21.34;22.95;5.22;0.69;9.51;10.64;93.13;0.47;5.34
20221003;27.06;20.4;20.8;22.98;5.5;0.72;9.46;10.61;93.14;0.83;7.17
20221004;24.86;18.79;19.87;21.65;2.07;0.27;9.47;10.34;93.31;0.77;8.5
20221005;26.81;18.2;19.92;22.07;4.86;0.64;9.48;10.5;93.31;0.89;1.92
20221006;25.94;18.03;19.58;21.75;4.84;0.65;9.43;10.61;93.35;0.66;4.37
20221007;27.14;18.1;19.45;22.17;5.57;0.74;9.41;10.4;93.29;0.66;1.08
20221008;25.66;19.55;20.24;21.98;2.05;0.27;9.54;10.48;93.32;0.73;13.82
20221009;26.55;18.41;20.18;22.25;5.41;0.71;9.39;10.6;93.4;0.52;4.59
20221010;26.43;18.1;19.7;21.99;3.23;0.43;9.47;10.97;93.41;0.59;17.48
20221011;24.97;19.16;20.8;21.95;2.65;0.35;9.5;10.73;93.33;0.48;11.33
20221012;28.26;20.25;20.89;23.43;4.0;0.53;9.46;10.3;93.21;0.6;8.01
20221013;26.4;18.06;19.75;21.99;2.79;0.37;9.19;10.22;93.04;0.51;1.74
20221014;25.84;18.66;19.75;21.57;2.97;0.4;9.34;10.33;92.81;0.99;13.19
20221015;27.81;16.87;19.26;22.23;5.98;0.77;9.2;10.4;92.88;0.59;0.16
20221016;28.31;19.66;21.24;23.32;5.2;0.69;9.55;10.21;93.12;0.51;5.53
